--- MOHE ORPHANS REPORT ---
Courses present in MOHE data but NOT found in HalaTuju.

[UA PROGRAMS] Orphans: 221
          code                                                        program_name                                     university
76   OP4481001                                                                  DIPLOMA IN COMPUTER SCIENCE               Kolej Profesional Mara
77   OP4481002                        DIPLOMA IN COMPUTER SCIENCE + VISUAL BUSINESS ANALYTICS CERTIFICATION               Kolej Profesional Mara
78   OP4213001      DIPLOMA IN CREATIVE DIGITAL MEDIA PRODUCTION + DIGITAL MEDIA PROFESSIONAL CERTIFICATE #               Kolej Profesional Mara
80   OP4224001                         DIPLOMA IN ENGLISH COMMUNICATION + SIJIL PENTERJEMAHAN BAHASA ITBM #               Kolej Profesional Mara
82   OP4345002                                DIPLOMA IN HALAL INDUSTRY + CERTIFIED HALAL EXECUTIVE PROGRAM               Kolej Profesional Mara
84   OP4840001  DIPLOMA IN INTEGRATED LOGISTICS MANAGEMENT + CHARTERED INSTITUTE OF LOGISTICS AND TRANSPORT               Kolej Profesional Mara
85   OP4340001                  DIPLOMA IN INTERNATIONAL BUSINESS + CERTIFIED SPECIALIST DIGITAL LEADERSHIP               Kolej Profesional Mara
86   OP4343001                      DIPLOMA IN ISLAMIC FINANCE + ASSOCIATE QUALIFICATION IN ISLAMIC FINANCE               Kolej Profesional Mara
87   OP4342001                  DIPLOMA IN MARKETING + CERTIFIED PROFESSIONAL MARKETER (ASIA) CERTIFICATION               Kolej Profesional Mara
354  FC3215001                                                 SIJIL TEKNOLOGI REKA BENTUK GRAFIK KREATIF #                       Kolej Komuniti
