masco_code,job_title,url
3511-13,Juruteknik Semikonduktor,https://emasco.mohr.gov.my/masco/3511-13
3511-14,Juruteknik Sistem Maklumat,https://emasco.mohr.gov.my/masco/3511-14
3511-22,Pembantu Tadbir Juruteknik Komputer,https://emasco.mohr.gov.my/masco/3511-22
3511-31,Juruteknik Perkhidmatan (Pencetak Pelbagai Fungsi),https://emasco.mohr.gov.my/masco/3511-31
3512-01,Juruanalisis Sistem,https://emasco.mohr.gov.my/masco/3512-01
3512-06,Penolong Pembangun Perisian,https://emasco.mohr.gov.my/masco/3512-06
3512-08,Pembantu Pangkalan Data,https://emasco.mohr.gov.my/masco/3512-08
3512-09,Pembantu Pengaturcaraan Komputer,https://emasco.mohr.gov.my/masco/3512-09
3512-13,Penyelia Pusat Data,https://emasco.mohr.gov.my/masco/3512-13
3513-01,Juruteknik Rangkaian Komputer,https://emasco.mohr.gov.my/masco/3513-01
3513-03,Juruteknik Keselamatan Rangkaian (ICT),https://emasco.mohr.gov.my/masco/3513-03
3513-04,Juruteknik Keselamatan Sistem & Aplikasi ICT,https://emasco.mohr.gov.my/masco/3513-04
3513-06,Penolong Pegawai Keselamatan Sistem,https://emasco.mohr.gov.my/masco/3513-06
3514-01,Juruteknik Laman Web,https://emasco.mohr.gov.my/masco/3514-01
3514-03,Juruanimasi Multimedia,https://emasco.mohr.gov.my/masco/3514-03
3514-04,Penolong Pereka Grafik,https://emasco.mohr.gov.my/masco/3514-04
3514-05,Juruteknik Seni dan Reka Bentuk,https://emasco.mohr.gov.my/masco/3514-05
3514-06,Penolong Kreatif,https://emasco.mohr.gov.my/masco/3514-06
3521-04,Pembantu Produksi (Media),https://emasco.mohr.gov.my/masco/3521-04
3521-11,Pegawai Radio Kapal,https://emasco.mohr.gov.my/masco/3521-11
3521-13,Juruteknik Peralatan Audio dan Video,https://emasco.mohr.gov.my/masco/3521-13
3521-22,Jurukamera (Video),https://emasco.mohr.gov.my/masco/3521-22
3521-25,Penolong Editor,https://emasco.mohr.gov.my/masco/3521-25
3522-04,Juruteknik Telekomunikasi,https://emasco.mohr.gov.my/masco/3522-04
3612-06,Penolong Pegawai Hal Ehwal Islam Gred S29,https://emasco.mohr.gov.my/masco/3612-06
3632-02,Pereka Hiasan Dalaman,https://emasco.mohr.gov.my/masco/3632-02
3632-03,Pereka Perabot,https://emasco.mohr.gov.my/masco/3632-03
3632-07,Ilustrator Pengiklanan,https://emasco.mohr.gov.my/masco/3632-07
3634-09,Juruteknik Pencahayaan,https://emasco.mohr.gov.my/masco/3634-09
3641-08,Jurumasak Pastri,https://emasco.mohr.gov.my/masco/3641-08
3641-12,Penolong Jurumasak,https://emasco.mohr.gov.my/masco/3641-12
3641-14,Penolong Jurumasak Eksekutif,https://emasco.mohr.gov.my/masco/3641-14
4221-01,Perunding Pelancongan,https://emasco.mohr.gov.my/masco/4221-01
4221-03,Kerani Agensi Pelancongan,https://emasco.mohr.gov.my/masco/4221-03
4224-01,Penyambut Tetamu,https://emasco.mohr.gov.my/masco/4224-01
4224-10,Penyambut Tetamu Hotel,https://emasco.mohr.gov.my/masco/4224-10
4311-32,Pembantu Juruteknik Audit Tenaga,https://emasco.mohr.gov.my/masco/4311-32
4312-14,Pembantu Tuntutan Insurans,https://emasco.mohr.gov.my/masco/4312-14
4312-34,Pembantu E-Dagang,https://emasco.mohr.gov.my/masco/4312-34
4323-35,Pembantu Logistik,https://emasco.mohr.gov.my/masco/4323-35
4416-10,Pembantu Sumber Manusia,https://emasco.mohr.gov.my/masco/4416-10
4419-01,Pembantu Pakaian,https://emasco.mohr.gov.my/masco/4419-01
5112-02,Inspektor Tiket,https://emasco.mohr.gov.my/masco/5112-02
5121-02,Tukang Masak,https://emasco.mohr.gov.my/masco/5121-02
5121-06,Pembantu Jurumasak,https://emasco.mohr.gov.my/masco/5121-06
5121-07,Pembantu Tukang Masak,https://emasco.mohr.gov.my/masco/5121-07
5121-10,Pembantu Kulinari,https://emasco.mohr.gov.my/masco/5121-10
5131-06,Penyelia Restoran,https://emasco.mohr.gov.my/masco/5131-06
5131-11,Pramusaji Gred K3,https://emasco.mohr.gov.my/masco/5131-11
5141-02,Pendandan Rambut,https://emasco.mohr.gov.my/masco/5141-02
5141-03,Tukang Gunting Rambut,https://emasco.mohr.gov.my/masco/5141-03
5142-08,Juruterapi Kecantikan dan Kesihatan,https://emasco.mohr.gov.my/masco/5142-08
5151-01,Penyelia Bankuet Hotel dan Penginapan,https://emasco.mohr.gov.my/masco/5151-01
5151-02,Penyelia Tingkat Hotel dan Penginapan,https://emasco.mohr.gov.my/masco/5151-02
5222-02,Penyelia Jualan,https://emasco.mohr.gov.my/masco/5222-02
5223-01,Pembantu Jualan,https://emasco.mohr.gov.my/masco/5223-01
5419-06,Penyelia Rekreasi,https://emasco.mohr.gov.my/masco/5419-06
7111-03,Orang Yang Kompeten (OYK) - Pengendali Perancah,https://emasco.mohr.gov.my/masco/7111-03
7115-05,Pembina Bot Kayu,https://emasco.mohr.gov.my/masco/7115-05
7115-11,Tukang Ukir Kayu,https://emasco.mohr.gov.my/masco/7115-11
7119-01,Pemasang Perancah,https://emasco.mohr.gov.my/masco/7119-01
7126-01,Jurufit Paip,https://emasco.mohr.gov.my/masco/7126-01
7126-02,Jurufit Paip Gas,https://emasco.mohr.gov.my/masco/7126-02
7127-02,Mekanik Kelengkapan Penyaman Udara,https://emasco.mohr.gov.my/masco/7127-02
7131-11,Pengecat Kenderaan,https://emasco.mohr.gov.my/masco/7131-11
7211-01,Pembuat Acuan,https://emasco.mohr.gov.my/masco/7211-01
7211-02,Pembaik Acuan Foundri,https://emasco.mohr.gov.my/masco/7211-02
7211-09,Tukang Acuan,https://emasco.mohr.gov.my/masco/7211-09
7212-01,Pengimpal,https://emasco.mohr.gov.my/masco/7212-01
7212-05,Jurukimpal Arka Tungsten Gas,https://emasco.mohr.gov.my/masco/7212-05
