course_id,course,wbl,industry_demand,salary_range
UE4214002,DIPLOMA TEKNOLOGI SENI REKA FESYEN Baru #,0,0,
UE4214004,DIPLOMA TEKNOLOGI SENI REKA PERINDUSTRIAN Baru #,0,0,
UE4542001,DIPLOMA TEKNOLOGI TEKSTIL DAN PAKAIAN,0,0,
UE4526002,DIPLOMA UKUR BAHAN,0,0,
UE4526001,DIPLOMA UKUR BANGUNAN,0,0,
UD4380001,DIPLOMA UNDANG-UNDANG,0,0,
UD4221006,DIPLOMA USULUDDIN,0,0,
UU0345001,PROGRAM ASASI PENGURUSAN,0,0,
UE6581001,SARJANA MUDA SAINS (KEPUJIAN) SENIBINA #,0,0,
UQ0340001,TAMHIDI PERAKAUNAN DAN MUAMALAT,0,0,
UQ0421001,"TAMHIDI PERUBATAN, PERGIGIAN DAN SAINS",0,0,
UQ0440005,TAMHIDI SAINS FIZIKAL DAN TEKNOLOGI,0,0,
UQ0010002,TAMHIDI SAINS SOSIAL Baru,0,0,
UQ0381001,TAMHIDI SYARIAH DAN UNDANG-UNDANG,0,0,
