course_id,source_type,institution_id,No,hyperlink,duration,single,monthly_allowance,practical_allowance,free_hostel,free_meals,tuition_fee,registration_fee
IJTM-CET-009,tvet,IJTM-032,95.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33944,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-009,tvet,IJTM-034,96.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33905,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-010,tvet,IJTM-009,97.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=10790,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-010,tvet,IJTM-021,98.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=7102,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-011,tvet,IJTM-003,99.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=9551,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-011,tvet,IJTM-020,100.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=36695,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-011,tvet,IJTM-021,101.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=36692,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-012,tvet,IJTM-012,102.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=30582,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-013,tvet,IJTM-018,103.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=36746,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-013,tvet,IJTM-021,104.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=36689,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
